key,region,cat1,cat2,amount,time
1,강원도,010. 일반공공행정,011. 입법 및 선거관리,18200,2012
2,강원도,010. 일반공공행정,013. 지방행정 및 재정지원,440400,2012
3,강원도,010. 일반공공행정,014. 재정 및 금융,33412,2012
4,강원도,010. 일반공공행정,016. 일반행정,303596,2012
5,강원도,020. 공공질서 및 안전,023. 경찰,0,2012
6,강원도,020. 공공질서 및 안전,025. 재난방재 및 민방위,250879,2012
7,강원도,050. 교육,051. 유아 및 초중등 교육,220735,2012
8,강원도,050. 교육,052. 고등교육,15987,2012
9,강원도,050. 교육,053. 평생 및 직업교육,26807,2012
10,강원도,060. 문화 및 관광,061. 문화예술,107807,2012
11,강원도,060. 문화 및 관광,062. 관광,186384,2012
12,강원도,060. 문화 및 관광,063. 체육,197859,2012
13,강원도,060. 문화 및 관광,064. 문화재,47840,2012
14,강원도,060. 문화 및 관광,065. 문화 및 관광 일반,9348,2012
15,강원도,070. 환경보호,071. 상하수도 및 수질,993112,2012
16,강원도,070. 환경보호,072. 폐기물,144924,2012
17,강원도,070. 환경보호,073. 대기,10009,2012
18,강원도,070. 환경보호,074. 자연,43022,2012
19,강원도,070. 환경보호,075. 해양,15572,2012
20,강원도,070. 환경보호,076. 환경보호일반,28570,2012
21,강원도,080. 사회복지,081. 기초생활보장,643587,2012
22,강원도,080. 사회복지,082. 취약계층지원,244381,2012
23,강원도,080. 사회복지,"084. 보육, 가족 및 여성",429618,2012
24,강원도,080. 사회복지,085. 노인 및 청소년,524649,2012
25,강원도,080. 사회복지,086. 노동,42283,2012
26,강원도,080. 사회복지,087. 보훈,7265,2012
27,강원도,080. 사회복지,088. 주택,18069,2012
28,강원도,080. 사회복지,089. 사회복지일반,31521,2012
29,강원도,090. 보건,091. 보건의료,112143,2012
30,강원도,090. 보건,093. 식품의약안전,2139,2012
31,강원도,100. 농림해양수산,101. 농업 및 농촌,674214,2012
32,강원도,100. 농림해양수산,102. 임업 및 산촌,350444,2012
33,강원도,100. 농림해양수산,103. 해양수산 및 어촌,138655,2012
34,강원도,110. 산업 및 중소기업,112. 산업기술지원,9704,2012
35,강원도,110. 산업 및 중소기업,113. 무역 및 투자유치,6380,2012
36,강원도,110. 산업 및 중소기업,114. 산업진흥 및 고도화,216923,2012
37,강원도,110. 산업 및 중소기업,115. 에너지 및 자원개발,32571,2012
38,강원도,110. 산업 및 중소기업,116. 산업 및 중소기업 일반,16421,2012
39,강원도,120. 수송 및 교통,121. 도로,404027,2012
40,강원도,120. 수송 및 교통,123. 도시철도,0,2012
41,강원도,120. 수송 및 교통,124. 해운 및 항만,1196,2012
42,강원도,120. 수송 및 교통,125. 항공 및 공항,86,2012
43,강원도,120. 수송 및 교통,"126. 대중교통, 물류 등 기타",157466,2012
44,강원도,140. 국토 및 지역개발,141. 수자원,266367,2012
45,강원도,140. 국토 및 지역개발,142. 지역 및 도시,716067,2012
46,강원도,140. 국토 및 지역개발,143. 산업단지,70333,2012
47,강원도,150. 과학기술,153. 과학기술일반,0,2012
48,강원도,160. 예비비,161. 예비비,127599,2012
49,강원도,900. 기타,901. 기타,1174397,2012
50,경기도,010. 일반공공행정,011. 입법 및 선거관리,53391,2012
51,경기도,010. 일반공공행정,013. 지방행정 및 재정지원,289261,2012
52,경기도,010. 일반공공행정,014. 재정 및 금융,266895,2012
53,경기도,010. 일반공공행정,016. 일반행정,5411661,2012
54,경기도,020. 공공질서 및 안전,023. 경찰,2519,2012
55,경기도,020. 공공질서 및 안전,025. 재난방재 및 민방위,409168,2012
56,경기도,050. 교육,051. 유아 및 초중등 교육,2757764,2012
57,경기도,050. 교육,052. 고등교육,2519,2012
58,경기도,050. 교육,053. 평생 및 직업교육,47572,2012
59,경기도,060. 문화 및 관광,061. 문화예술,489917,2012
60,경기도,060. 문화 및 관광,062. 관광,80956,2012
61,경기도,060. 문화 및 관광,063. 체육,467137,2012
62,경기도,060. 문화 및 관광,064. 문화재,93805,2012
63,경기도,060. 문화 및 관광,065. 문화 및 관광 일반,139662,2012
64,경기도,070. 환경보호,071. 상하수도 및 수질,3755111,2012
65,경기도,070. 환경보호,072. 폐기물,882878,2012
66,경기도,070. 환경보호,073. 대기,188404,2012
67,경기도,070. 환경보호,074. 자연,52576,2012
68,경기도,070. 환경보호,075. 해양,0,2012
69,경기도,070. 환경보호,076. 환경보호일반,83584,2012
70,경기도,080. 사회복지,081. 기초생활보장,1891969,2012
71,경기도,080. 사회복지,082. 취약계층지원,1110419,2012
72,경기도,080. 사회복지,"084. 보육, 가족 및 여성",2974643,2012
73,경기도,080. 사회복지,085. 노인 및 청소년,1839367,2012
74,경기도,080. 사회복지,086. 노동,96119,2012
75,경기도,080. 사회복지,087. 보훈,53727,2012
76,경기도,080. 사회복지,088. 주택,999,2012
77,경기도,080. 사회복지,089. 사회복지일반,170929,2012
78,경기도,090. 보건,091. 보건의료,497472,2012
79,경기도,090. 보건,093. 식품의약안전,6863,2012
80,경기도,100. 농림해양수산,101. 농업 및 농촌,956930,2012
81,경기도,100. 농림해양수산,102. 임업 및 산촌,222050,2012
82,경기도,100. 농림해양수산,103. 해양수산 및 어촌,70176,2012
83,경기도,110. 산업 및 중소기업,112. 산업기술지원,5281,2012
84,경기도,110. 산업 및 중소기업,113. 무역 및 투자유치,126075,2012
85,경기도,110. 산업 및 중소기업,114. 산업진흥 및 고도화,103976,2012
86,경기도,110. 산업 및 중소기업,115. 에너지 및 자원개발,58894,2012
87,경기도,110. 산업 및 중소기업,116. 산업 및 중소기업 일반,169272,2012
